"","load_yield_adj","yield","pH_mean","gpp_mean","precip_mean","site","month_adj"
"1",1238.70504475916,382951792.727273,6.19930735930736,0,5.30803218147447,"Colorado",4
"2",1311.80116594368,397588207.272727,6.08891774891775,0,4.43441378112866,"Colorado",5
"3",1385.07109892134,467064374.545455,5.97852813852814,0,4.47087096046626,"Colorado",6
"4",1459.45600429026,493375745.454545,5.8662987012987,0,4.4235333626469,"Colorado",7
"5",1533.91677475246,552578832.727273,5.75406926406926,8.73635235645161,2.24319352894541,"Colorado",8
"6",1571.96863784823,755306381.818182,5.74221861471861,87.6359962225,1.20099998662869,"Colorado",9
"7",1832.04386669353,441050000,6.32619815668203,122.265924881452,1.78438709483993,"Colorado",10
"8",1939.62861385337,278930000,6.47912442396313,86.0102722935484,1.3815806263517,"Colorado",11
"9",1795.3552247244,150751000,6.73009523809524,22.7171251016667,1.37700000405312,"Colorado",12
"10",1149.32088447631,253979167.272727,6.30254713028907,0.725806451612903,1.57016128109347,"Colorado",1
"11",1088.69696575885,287164254.545455,6.42560606060606,0,3.57023331049519,"Colorado",2
"12",1163.10758348567,339493625.454545,6.31337662337662,0,5.24032262159932,"Colorado",3
"13",1938.14666650154,105218294.372294,6.53988479262673,0,2.66383869400729,"Colorado",4
"14",2065.10184930993,98976363.6363636,6.65471428571429,0,4.29864293362646,"Colorado",5
"15",2026.81090613203,113943653.679654,6.60204953917051,0,2.52061290990922,"Colorado",6
"16",1844.62288227728,114633116.883117,6.32669642857143,0,4.13803330659866,"Colorado",7
"17",1648.08427889939,200234047.619048,6.22292626728111,6.40143280806452,3.37203226863377,"Colorado",8
"18",1612.71944589631,473786000,6.11809523809524,84.1535475270833,2.43909999119739,"Colorado",9
"19",1159.54593394638,493130000,6.08923963133641,129.224733968548,2.41964516950576,"Colorado",10
"20",1643.88899953614,334149000,6.03582949308756,86.0537198649194,1.44564515929068,"Colorado",11
"21",1834.93347918349,165708000,5.71763736263736,34.0111892366667,1.73853332599004,"Colorado",12
"22",1871.08928602987,92214272.7272727,6.58248847926267,0,1.26135480788446,"Colorado",1
"23",1669.24285370342,93022467.5324675,6.44833333333333,0,6.55666668005288,"Colorado",2
"24",1799.74529306695,100633783.549784,6.50020737327189,0,3.12216131416179,"Colorado",3
"25",71236.8550096689,8453827.09028571,5.33408410138249,2.05645161290323,1.6700322661669,"Vermont",4
"26",67214.8093839582,12359148.264,5.28711206896552,0.435344827586207,2.53844826899726,"Vermont",5
"27",55797.3655435323,33241404.3067402,5.22852534562212,60.8249680038306,1.06632257565375,"Vermont",6
"28",55099.0702648389,73802361.3551417,5.10852380952381,343.692933684375,3.85103341486926,"Vermont",7
"29",62528.1050893485,27702084.2683876,5.25645161290323,1078.12277042823,3.12609677449349,"Vermont",8
"30",70344.7948111609,3219392.92272527,5.47480952380952,1277.16114092188,1.3516999906317,"Vermont",9
"31",77840.0283378956,5022206.94847552,5.67147465437788,1353.75668081028,4.39325806883074,"Vermont",10
"32",58044.0257101746,3941968.02523947,5.25777777777778,1212.76115554556,4.49835479331593,"Vermont",11
"33",59324.9261398915,5989992.82056955,5.34415343915344,606.22842544625,1.78599999435246,"Vermont",12
"34",61262.0297340863,28378932.0050312,5.25119815668203,160.08064516129,4.49151612430691,"Vermont",1
"35",59282.7605010189,34847473.9842198,5.14766666666667,46.6645833333333,2.14213330235798,"Vermont",2
"36",60516.7043125628,26379554.3544935,5.17603686635945,7.45362903225806,2.07919354980526,"Vermont",3
"37",54092.1717414931,5045141.49381818,5.33479262672811,1.54233870967742,1.58587095910503,"Vermont",4
"38",69179.4719151149,7761699.16114286,5.37107142857143,0.497767857142857,1.97582144503083,"Vermont",5
"39",57599.8948862273,41239962.3612256,5.28841013824885,44.5745967741936,2.14145159156572,"Vermont",6
"40",52004.5989294347,89051134.6550889,5.04418452380952,319.875473966667,2.5632999593392,"Vermont",7
"41",54159.7856260338,76262257.2836738,5.05463709677419,1121.53438890202,5.3603870375833,"Vermont",8
"42",57484.9548152254,34973443.4993999,5.1382380952381,1429.9003174,5.11799998482068,"Vermont",9
"43",65313.3571402527,3004282.92037403,5.34718894009217,1451.34532285444,1.98470966798824,"Vermont",10
"44",66886.4624908112,6687778.57168788,5.26895161290323,1310.79079514355,4.29574199147042,"Vermont",11
"45",67051.5954554073,9099950.10076484,5.45375,572.80713585,3.9120333686471,"Vermont",12
"46",70692.4564162151,4837295.66057143,5.5886866359447,151.385080645161,1.79719355888665,"Vermont",1
"47",55090.3928613887,37272676.0793766,5.107,42.9375,5.64303339111308,"Vermont",2
"48",59819.8656513586,9906006.74493507,5.26972350230415,0.673387096774194,1.32174196249745,"Vermont",3
"49",11998.122119503,1442433275.72837,7.44367346938775,117.560111722782,12.8786452100162,"California",4
"50",11565.9077770583,1038280415.18595,7.44979591836735,379.368094572629,4.39382756270211,"California",5
"51",10926.1781154521,1302336079.29112,7.45591836734694,429.35317283246,10.5639353932873,"California",6
"52",11424.4654718307,1452729232.39862,7.46214285714286,750.284904106875,8.50796656807264,"California",7
"53",11288.3835257164,1168393516.60619,7.46836734693878,1102.69593269113,6.32761290188759,"California",8
"54",11991.4207283701,688773571.977378,7.47459183673469,1538.218072165,4.80049997170766,"California",9
"55",14910.1336872282,164678261.0688,7.48081632653061,1471.26905426048,0.459419352392997,"California",10
"56",15354.1214781488,85544773.5096,7.48714285714286,1283.58070959113,0,"California",11
"57",14924.7086402644,63400969.3244612,7.49336734693878,851.531337818333,2.51456668873628,"California",12
"58",14899.0609192732,98389743.3483429,7.42489795918367,478.343618958064,0.096580644528712,"California",1
"59",13450.3105068697,196279725.235927,7.43112244897959,232.619077502708,6.90903339584669,"California",2
"60",11902.8267167493,1266681395.21545,7.43734693877551,66.6013281877016,14.7393870098937,"California",3
"61",11292.7836169677,1328645677.26985,7.33548387096774,80.3024193548387,12.9751935582007,"California",4
"62",11300.090392138,1051739669.07175,7.36785714285714,168.576138227009,7.28025005435172,"California",5
"63",10537.3289797601,2044906682.24328,7.27096774193548,449.337067825202,13.970935390113,"California",6
"64",9778.65722435907,2362924051.92726,7.22333333333333,1032.51882435375,5.06910007049252,"California",7
"65",10083.298356929,1081127640.34173,7.26129032258065,1136.25204744214,4.95251608087171,"California",8
"66",11244.5851618294,345440545.451691,7.34666666666667,1434.21017554479,1.58299998603761,"California",9
"67",13589.1347656852,123981426.944197,7.41397849462366,1717.70139538306,0.978838721079932,"California",10
"68",14382.6571145414,157250448.948581,7.45376344086022,1463.06558385968,4.28912907454275,"California",11
"69",14671.5617646671,137830313.0484,7.4,968.773857660833,0.531166652838389,"California",12
"70",14899.6059958039,47363145.59088,7.49899275839368,510.743914008065,0.46738709749714,"California",1
"71",12593.1880496802,1614526641.59347,7.34515873015873,178.750289915625,26.1759665330251,"California",2
"72",10707.5550477297,778015870.965005,7.27081413210446,61.9808182235887,7.92912897467613,"California",3
